battery_id,cycle,ambient_temperature,capacity_Ah,initial_capacity_Ah,SOH_percent
B0005,2,24.0,1.8564874208181574,1.8564874208181574,100.0
B0005,4,24.0,1.846327249719927,1.8564874208181574,99.45272071416714
B0005,6,24.0,1.8353491942234077,1.8564874208181574,98.86138595081705
B0005,8,24.0,1.8352625275821128,1.8564874208181574,98.85671763794173
B0005,10,24.0,1.8346455082120419,1.8564874208181574,98.82348178817772
B0005,12,24.0,1.8356616600675495,1.8564874208181574,98.87821697485944
B0005,14,24.0,1.8351461429226603,1.8564874208181574,98.85044855913476
B0005,16,24.0,1.8257567905665537,1.8564874208181574,98.34468955151549
B0005,18,24.0,1.8247738529891333,1.8564874208181574,98.29174345738105
B0005,20,24.0,1.824613268496936,1.8564874208181574,98.2830935473199
B0005,22,24.0,1.8246195526864504,1.8564874208181574,98.28343204622077
B0005,25,24.0,1.8142019357673917,1.8564874208181574,97.72228539894279
B0005,27,24.0,1.8137521577549054,1.8564874208181574,97.69805803238793
B0005,29,24.0,1.8134404914735822,1.8564874208181574,97.68127007692816
B0005,31,24.0,1.8025980036306504,1.8564874208181574,97.09723768751647
B0005,33,24.0,1.80210690024615,1.8564874208181574,97.07078432300706
B0005,35,24.0,1.802579500826209,1.8564874208181574,97.09624103091467
B0005,37,24.0,1.8030683142834096,1.8564874208181574,97.12257104811376
B0005,39,24.0,1.8027776247196041,1.8564874208181574,97.1069130069902
B0005,42,24.0,1.8470259949329193,1.8564874208181574,99.49035873989017
B0005,46,24.0,1.847417311283644,1.8564874208181574,99.5114370594272
B0005,50,24.0,1.8361774213478947,1.8564874208181574,98.90599854098058
B0005,54,24.0,1.8257807475776242,1.8564874208181574,98.34597999985365
B0005,58,24.0,1.8251136435078368,1.8564874208181574,98.31004632950896
B0005,62,24.0,1.8255815042203762,1.8564874208181574,98.33524772367372
B0005,66,24.0,1.8140311275083907,1.8564874208181574,97.71308478400267
B0005,70,24.0,1.8147691941158939,1.8564874208181574,97.75284086310275
B0005,74,24.0,1.813969388710352,1.8564874208181574,97.70975921350076
B0005,78,24.0,1.802765665167823,1.8564874208181574,97.10626880376819
B0005,82,24.0,1.804077040117352,1.8564874208181574,97.17690623092355
B0005,86,24.0,1.8518025516704486,1.8564874208181574,99.74764875349146
B0005,90,24.0,1.8307038456739428,1.8564874208181574,98.61116348782737
B0005,94,24.0,1.8199041089501267,1.8564874208181574,98.02943389447215
B0005,98,24.0,1.8093079637028517,1.8564874208181574,97.45867078945713
B0005,102,24.0,1.80460990458052,1.8564874208181574,97.20560906279802
B0005,106,24.0,1.7993770651972192,1.8564874208181574,96.92374130950105
B0005,110,24.0,1.7884432335370462,1.8564874208181574,96.33478867036308
B0005,114,24.0,1.7829230484252723,1.8564874208181574,96.03744299218224
B0005,118,24.0,1.7730337158018288,1.8564874208181574,95.50475246530081
B0005,122,24.0,1.773037755078937,1.8564874208181574,95.50497004162602
B0005,126,24.0,1.7678721106662054,1.8564874208181574,95.22672175646096
B0005,130,24.0,1.7623150704093087,1.8564874208181574,94.92739086983165
B0005,134,24.0,1.7676172924938447,1.8564874208181574,95.21299593373234
B0005,136,24.0,1.762668359743147,1.8564874208181574,94.94642085785509
B0005,140,24.0,1.7517304870664143,1.8564874208181574,94.35725054869607
B0005,144,24.0,1.7418496047960008,1.8564874208181574,93.82501520146927
B0005,148,24.0,1.7360913511847138,1.8564874208181574,93.51484592444021
B0005,150,24.0,1.7936240148573608,1.8564874208181574,96.61385230754256
B0005,154,24.0,1.7831890223273275,1.8564874208181574,96.05176972012408
B0005,158,24.0,1.7673642076278957,1.8564874208181574,95.19936347583841
B0005,162,24.0,1.7570177850353066,1.8564874208181574,94.64205172265511
B0005,166,24.0,1.7468706179837907,1.8564874208181574,94.09547290193551
B0005,170,24.0,1.7417172507457144,1.8564874208181574,93.81788592880078
B0005,174,24.0,1.7364225056478186,1.8564874208181574,93.53268361401415
B0005,178,24.0,1.7263217239235826,1.8564874208181574,92.988603346571
B0005,182,24.0,1.7158065389330133,1.8564874208181574,92.42220117908766
B0005,186,24.0,1.710533351135192,1.8564874208181574,92.13816005181208
B0005,190,24.0,1.706014499648521,1.8564874208181574,91.89475137389712
B0005,194,24.0,1.7003110272642588,1.8564874208181574,91.58753289666399
B0005,198,24.0,1.6945798601797895,1.8564874208181574,91.27882263985312
B0005,202,24.0,1.6849029086609286,1.8564874208181574,90.75757205607074
B0005,206,24.0,1.6744741591159717,1.8564874208181574,90.19582574806932
B0005,210,24.0,1.6745692479879102,1.8564874208181574,90.2009477257823
B0005,214,24.0,1.663716375981405,1.8564874208181574,89.6163559916933
B0005,216,24.0,1.659013868748246,1.8564874208181574,89.3630546668135
B0005,220,24.0,1.6538540573335014,1.8564874208181574,89.08512057704355
B0005,224,24.0,1.642653782130131,1.8564874208181574,88.48181591266643
B0005,228,24.0,1.6378578430223698,1.8564874208181574,88.22348186450748
B0005,232,24.0,1.6327350407099108,1.8564874208181574,87.94754127611387
B0005,236,24.0,1.6277528915533617,1.8564874208181574,87.67917699307695
B0005,240,24.0,1.622125485521159,1.8564874208181574,87.37605584239753
B0005,244,24.0,1.6113256603765849,1.8564874208181574,86.79432148624366
B0005,248,24.0,1.6065631397488385,1.8564874208181574,86.53778753000239
B0005,252,24.0,1.6015142233917594,1.8564874208181574,86.26582682073705
B0005,256,24.0,1.590369231400328,1.8564874208181574,85.66549999565574
B0005,260,24.0,1.5857889968242211,1.8564874208181574,85.4187849075412
B0005,264,24.0,1.5849430707374117,1.8564874208181574,85.37321895986369
B0005,266,24.0,1.5955263892495937,1.8564874208181574,85.94329115068511
B0005,270,24.0,1.5747301747801037,1.8564874208181574,84.82309964083233
B0005,274,24.0,1.5649019950937946,1.8564874208181574,84.29370312695895
B0005,278,24.0,1.5597659473370362,1.8564874208181574,84.01704907053151
B0005,282,24.0,1.5594815668184234,1.8564874208181574,84.00173086716403
B0005,286,24.0,1.55468935359061,1.8564874208181574,83.74359751414073
B0005,290,24.0,1.5488741079890418,1.8564874208181574,83.43035835418966
B0005,294,24.0,1.538236598942558,1.8564874208181574,82.85736718133292
B0005,298,24.0,1.527914258251028,1.8564874208181574,82.30135260370756
B0005,302,24.0,1.5285252629756445,1.8564874208181574,82.33426447360578
B0005,306,24.0,1.522647325284378,1.8564874208181574,82.01764839394087
B0005,310,24.0,1.5174859938489869,1.8564874208181574,81.73963242800902
B0005,313,24.0,1.605818899130659,1.8564874208181574,86.49769888680268
B0005,316,24.0,1.5638491446744425,1.8564874208181574,84.23699116610504
B0005,320,24.0,1.5480915247767786,1.8564874208181574,83.38820438085877
B0005,324,24.0,1.5323755631868592,1.8564874208181574,82.54166152720488
B0005,328,24.0,1.5269528268489705,1.8564874208181574,82.24956494324317
B0005,332,24.0,1.5169573017136326,1.8564874208181574,81.71115433925789
B0005,336,24.0,1.5118975960142693,1.8564874208181574,81.43861246029738
B0005,340,24.0,1.5065638960681105,1.8564874208181574,81.1513118362076
B0005,344,24.0,1.5015453526671363,1.8564874208181574,80.88098717121403
B0005,348,24.0,1.4908444050400238,1.8564874208181574,80.30457886878683
B0005,352,24.0,1.485868384561201,1.8564874208181574,80.03654470798278
B0005,356,24.0,1.480413677976106,1.8564874208181574,79.74272604140161
B0005,360,24.0,1.4752095869031632,1.8564874208181574,79.46240682056631
B0005,364,24.0,1.4859035988304024,1.8564874208181574,80.03844153038008
B0005,367,24.0,1.4960918298136696,1.8564874208181574,80.58723226653154
B0005,371,24.0,1.4808005946928984,1.8564874208181574,79.76356737393388
B0005,375,24.0,1.4697543268466824,1.8564874208181574,79.168558341158
B0005,379,24.0,1.4539012274845928,1.8564874208181574,78.31462853887025
B0005,383,24.0,1.4541462067235693,1.8564874208181574,78.32782438583529
B0005,387,24.0,1.455023751906683,1.8564874208181574,78.37509350133121
B0005,391,24.0,1.449042163761236,1.8564874208181574,78.05289427291893
B0005,395,24.0,1.4386709371480566,1.8564874208181574,77.49424644709048
B0005,399,24.0,1.433445432156979,1.8564874208181574,77.21277376203588
B0005,403,24.0,1.4333958900838095,1.8564874208181574,77.21010517012333
B0005,407,24.0,1.42806487344776,1.8564874208181574,76.92294908297353
B0005,411,24.0,1.4229203181741186,1.8564874208181574,76.64583676775116
B0005,415,24.0,1.417429032731308,1.8564874208181574,76.35004777498811
B0005,419,24.0,1.412409228794446,1.8564874208181574,76.07965521102183
B0005,423,24.0,1.412578792940193,1.8564874208181574,76.08878881159706
B0005,427,24.0,1.4075983731469897,1.8564874208181574,75.82051768100095
B0005,431,24.0,1.4333920485221476,1.8564874208181574,77.20989824377314
B0005,433,24.0,1.4382550176792908,1.8564874208181574,77.47184287655712
B0005,437,24.0,1.4173547174485526,1.8564874208181574,76.34604477007024
B0005,441,24.0,1.406981663677643,1.8564874208181574,75.78729852409039
B0005,445,24.0,1.4012037783587625,1.8564874208181574,75.47607178190572
B0005,449,24.0,1.3967008232726328,1.8564874208181574,75.23351936621818
B0005,453,24.0,1.391284788852726,1.8564874208181574,74.94178378216989
B0005,457,24.0,1.3862287677978349,1.8564874208181574,74.66944037718937
B0005,461,24.0,1.3804366761974138,1.8564874208181574,74.35744841131499
B0005,465,24.0,1.3752364150256224,1.8564874208181574,74.07733548873459
