battery_id,cycle
B0005,2
B0005,4
B0005,6
B0005,8
B0005,10
B0005,12
B0005,14
B0005,16
B0005,18
B0005,20
B0005,22
B0005,25
B0005,27
B0005,29
B0005,31
B0005,33
B0005,35
B0005,37
B0005,39
B0005,42
B0005,46
B0005,50
B0005,54
B0005,58
B0005,62
B0005,66
B0005,70
B0005,74
B0005,78
B0005,82
B0005,86
B0005,90
B0005,94
B0005,98
B0005,102
B0005,106
B0005,110
B0005,114
B0005,118
B0005,122
B0005,126
B0005,130
B0005,134
B0005,136
B0005,140
B0005,144
B0005,148
B0005,150
B0005,154
B0005,158
B0005,162
B0005,166
B0005,170
B0005,174
B0005,178
B0005,182
B0005,186
B0005,190
B0005,194
B0005,198
B0005,202
B0005,206
B0005,210
B0005,214
B0005,216
B0005,220
B0005,224
B0005,228
B0005,232
B0005,236
B0005,240
B0005,244
B0005,248
B0005,252
B0005,256
B0005,260
B0005,264
B0005,266
B0005,270
B0005,274
B0005,278
B0005,282
B0005,286
B0005,290
B0005,294
B0005,298
B0005,302
B0005,306
B0005,310
B0005,313
B0005,316
B0005,320
B0005,324
B0005,328
B0005,332
B0005,336
B0005,340
B0005,344
B0005,348
B0005,352
B0005,356
B0005,360
B0005,364
B0005,367
B0005,371
B0005,375
B0005,379
B0005,383
B0005,387
B0005,391
B0005,395
B0005,399
B0005,403
B0005,407
B0005,411
B0005,415
B0005,419
B0005,423
B0005,427
B0005,431
B0005,433
B0005,437
B0005,441
B0005,445
B0005,449
B0005,453
B0005,457
B0005,461
B0005,465
B0005,469
B0005,473
B0005,477
B0005,481
B0005,483
B0005,485
B0005,489
B0005,493
B0005,497
B0005,501
B0005,505
B0005,509
B0005,513
B0005,517
B0005,521
B0005,525
B0005,529
B0005,533
B0005,537
B0005,541
B0005,545
B0005,548
B0005,552
B0005,556
B0005,560
B0005,564
B0005,568
B0005,572
B0005,576
B0005,580
B0005,584
B0005,588
B0005,592
B0005,596
B0005,600
B0005,604
B0005,608
B0005,612
B0005,614
B0006,2
B0006,4
B0006,6
B0006,8
B0006,10
B0006,12
B0006,14
B0006,16
B0006,18
B0006,20
B0006,22
B0006,25
B0006,27
B0006,29
B0006,31
B0006,33
B0006,35
B0006,37
B0006,39
B0006,42
B0006,46
B0006,50
B0006,54
B0006,58
B0006,62
B0006,66
B0006,70
B0006,74
B0006,78
B0006,82
B0006,86
B0006,90
B0006,94
B0006,98
B0006,102
B0006,106
B0006,110
B0006,114
B0006,118
B0006,122
B0006,126
B0006,130
B0006,134
B0006,136
B0006,140
B0006,144
B0006,148
B0006,150
B0006,154
B0006,158
B0006,162
B0006,166
B0006,170
B0006,174
B0006,178
B0006,182
B0006,186
B0006,190
B0006,194
B0006,198
B0006,202
B0006,206
B0006,210
B0006,214
B0006,216
B0006,220
B0006,224
B0006,228
B0006,232
B0006,236
B0006,240
B0006,244
B0006,248
B0006,252
B0006,256
B0006,260
B0006,264
B0006,266
B0006,270
B0006,274
B0006,278
B0006,282
B0006,286
B0006,290
B0006,294
B0006,298
B0006,302
B0006,306
B0006,310
B0006,313
B0006,316
B0006,320
B0006,324
B0006,328
B0006,332
B0006,336
B0006,340
B0006,344
B0006,348
B0006,352
B0006,356
B0006,360
B0006,364
B0006,367
B0006,371
B0006,375
B0006,379
B0006,383
B0006,387
B0006,391
B0006,395
B0006,399
B0006,403
B0006,407
B0006,411
B0006,415
B0006,419
B0006,423
B0006,427
B0006,431
B0006,433
B0006,437
B0006,441
B0006,445
B0006,449
B0006,453
B0006,457
B0006,461
B0006,465
B0006,469
B0006,473
B0006,477
B0006,481
B0006,483
B0006,485
B0006,489
B0006,493
B0006,497
B0006,501
B0006,505
B0006,509
B0006,513
B0006,517
B0006,521
B0006,525
B0006,529
B0006,533
B0006,537
B0006,541
B0006,545
B0006,548
B0006,552
B0006,556
B0006,560
B0006,564
B0006,568
B0006,572
B0006,576
B0006,580
B0006,584
B0006,588
B0006,592
B0006,596
B0006,600
B0006,604
B0006,608
B0006,612
B0006,614
B0007,2
B0007,4
B0007,6
B0007,8
B0007,10
B0007,12
B0007,14
B0007,16
B0007,18
B0007,20
B0007,22
B0007,25
B0007,27
B0007,29
B0007,31
B0007,33
B0007,35
B0007,37
B0007,39
B0007,42
B0007,46
B0007,50
B0007,54
B0007,58
B0007,62
B0007,66
B0007,70
B0007,74
B0007,78
B0007,82
B0007,86
B0007,90
B0007,94
B0007,98
B0007,102
B0007,106
B0007,110
B0007,114
B0007,118
B0007,122
B0007,126
B0007,130
B0007,134
B0007,136
B0007,140
B0007,144
B0007,148
B0007,150
B0007,154
B0007,158
B0007,162
B0007,166
B0007,170
B0007,174
B0007,178
B0007,182
B0007,186
B0007,190
B0007,194
B0007,198
B0007,202
B0007,206
B0007,210
B0007,214
B0007,216
B0007,220
B0007,224
B0007,228
B0007,232
B0007,236
B0007,240
B0007,244
B0007,248
B0007,252
B0007,256
B0007,260
B0007,264
B0007,266
B0007,270
B0007,274
B0007,278
B0007,282
B0007,286
B0007,290
B0007,294
B0007,298
B0007,302
B0007,306
B0007,310
B0007,313
B0007,316
B0007,320
B0007,324
B0007,328
B0007,332
B0007,336
B0007,340
B0007,344
B0007,348
B0007,352
B0007,356
B0007,360
B0007,364
B0007,367
B0007,371
B0007,375
B0007,379
B0007,383
B0007,387
B0007,391
B0007,395
B0007,399
B0007,403
B0007,407
B0007,411
B0007,415
B0007,419
B0007,423
B0007,427
B0007,431
B0007,433
B0007,437
B0007,441
B0007,445
B0007,449
B0007,453
B0007,457
B0007,461
B0007,465
B0007,469
B0007,473
B0007,477
B0007,481
B0007,483
B0007,485
B0007,489
B0007,493
B0007,497
B0007,501
B0007,505
B0007,509
B0007,513
B0007,517
B0007,521
B0007,525
B0007,529
B0007,533
B0007,537
B0007,541
B0007,545
B0007,548
B0007,552
B0007,556
B0007,560
B0007,564
B0007,568
B0007,572
B0007,576
B0007,580
B0007,584
B0007,588
B0007,592
B0007,596
B0007,600
B0007,604
B0007,608
B0007,612
B0007,614
